EngNames	Lat	Lon	Language	Group	Family	color	label
Aytkhan	43.69773	46.82498	Andi	Andic	Nakh-Daghestanian	orange3	͏͏
Andi	42.7856	46.2639	Andi	Andic	Nakh-Daghestanian	orange3	Andi
Ashali	42.76963	46.30878	Andi	Andic	Nakh-Daghestanian	orange3	Ashali
Gagatli	42.800361	46.292645	Andi	Andic	Nakh-Daghestanian	orange3	Gagatli
Gunkha	42.78968	46.28275	Andi	Andic	Nakh-Daghestanian	orange3	Gunkha
Dzhugut	43.70835	46.86498	Andi	Andic	Nakh-Daghestanian	orange3	͏͏
Zilo	42.731394	46.319223	Andi	Andic	Nakh-Daghestanian	orange3	Zilo
Kvankhidatli	42.65789	46.271742	Andi	Andic	Nakh-Daghestanian	orange3	Kvankhidatli
Mekheturi	42.70556	46.2375	Andi	Andic	Nakh-Daghestanian	orange3	͏͏
Muni	42.680242	46.308874	Andi	Andic	Nakh-Daghestanian	orange3	Muni
Novogagatli	43.4561	46.4819	Andi	Andic	Nakh-Daghestanian	orange3	͏͏
Rikvani	42.782304	46.319372	Andi	Andic	Nakh-Daghestanian	orange3	Rikvani
Rushukha	42.71509	46.28112	Andi	Andic	Nakh-Daghestanian	orange3	͏͏
Khando	42.72694	46.23361	Andi	Andic	Nakh-Daghestanian	orange3	͏͏
Tsibilta	42.74322	46.24311	Andi	Andic	Nakh-Daghestanian	orange3	͏͏
Chanko	42.717936	46.246417	Andi	Andic	Nakh-Daghestanian	orange3	Chanko
Shivor	42.714662	46.256637	Andi	Andic	Nakh-Daghestanian	orange3	͏͏
Abdurashid	43.38644	46.67183	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Agada	42.412001	46.841895	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Adzhidada	43.2861	47.0731	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Aymaki	42.5342	47.1383	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Akaytala	43.03176	46.92583	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Akaro (Yazykovka)	43.352007	46.977198	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Aksay	43.3686	46.4461	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Akushali	42.4992	46.9504	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ala	42.415472	46.837085	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Alak	42.6092	46.1972	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Albaniya (Tonokh-Kuli)	43.2056	46.6933	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Aleksandriyskaya	43.9047	47.1297	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Almak	42.985693	46.580315	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Almalo	43.0967	47.2253	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Al'burikent	42.97389	47.47111	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Amishta	42.62967	46.552971	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Amushi Bol'shoe	42.63752	46.4864	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Amushi Maloe	42.650445	46.487815	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Anada	42.17306	46.36917	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Andykh	42.5119	46.5939	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ansalta	42.6939	46.1147	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ankhvala	43.65583	46.90389	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Antsukh	42.1892	46.3397	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Apshi	42.6094	47.1742	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Arada	43.30962	47.15059	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Arakani	42.610078	46.991711	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Arani	42.5556	46.7225	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Argvani	42.8128	46.5792	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Arkas	42.65194	47.13833	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Arkida	43.20583	47.0625	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Artlukh	42.8631	46.6683	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Arykhkent	42.64472	47.19165	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Assab	42.471596	46.492475	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Akhalchi	42.594957	46.631744	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Akhkent	42.57353	47.18488	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Akhsu	42.92342	46.694116	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Akhtachikan	43.49528	47.11944	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Akhtini	43.28282	47.02641	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Ashil'ta	42.772446	46.728853	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Babayurt	43.601403	46.783386	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bavtugay	43.16808	46.83415	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Baginub	42.1743	46.88159	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Baitl'	42.546452	46.676472	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bayram	43.25691	46.6513	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Balanub	42.4284	46.8251	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Balakhani	42.63128	46.89514	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Barnab	42.07964	46.37894	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Batlaich	42.554821	46.754217	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Batsada	42.3036	46.9092	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bezhuda	42.200348	46.479175	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Betel'da	41.95077	46.54164	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Betli	42.72372	46.73388	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bogatyrevka	43.118523	47.368198	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bol'shaya Areshevka	44.107833	46.916939	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bol'shezadoevskoe	43.8661	46.8289	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bol'shoy Urala	42.424277	46.805844	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bochokh	42.22	46.28472	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Burtunay	42.992004	46.630332	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Busutli	42.24512	46.363326	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Bukhty	42.240712	46.985633	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Butsra	42.58902	46.7677	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhnie Akhalchi	42.59911	46.63581	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhnee Inkho	42.70659	46.50415	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhnie Khvarshini	42.41088	45.84551	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Aradirikh	42.67099	46.60372	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Batlukh	42.496276	46.502217	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Dzhengutay	42.67476	47.23415	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Karanay	42.8281	46.9072	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Kolob	42.42614	46.6579	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Verkhniy Togokh	42.430206	46.698316	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Vinogradnoe	43.9167	46.81963	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gagar	41.999252	46.592744	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gadari	42.807303	46.621237	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gamiyakh	43.2075	46.4886	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gamsutl'	42.301972	46.996315	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Garakolob	42.048887	46.455015	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gatsalukh	42.59298	46.64949	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gvedysh	42.13591	46.41437	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gebguda	42.190026	46.354817	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gel'bakh (V. Chiryurt)	43.15101	46.85751	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gendukh	42.13476	46.403084	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Genekolob	41.916992	46.600199	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Genitsurib	42.425104	46.705356	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Genichutl'	42.56455	46.73959	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Genta	42.37001	46.56099	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gergebil'	42.5047	47.0661	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gergentala	42.73225	47.05913	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gerel'	41.94451	46.551888	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gertma	42.996711	46.74415	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gidatli	42.266327	46.374506	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gidib	42.22942	46.80621	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gilib	42.1169	46.7761	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gimry	42.757219	46.838739	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gindib	42.11296	46.50397	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Goab	42.097185	46.738407	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gogotl'	42.45481	46.76547	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gozolokolo	42.569651	46.61206	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Goksuv	43.2222	46.82137	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Golotl'	42.485962	46.735698	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
Gondokori	43.55252	46.89127	Avar	Avar	Nakh-Daghestanian	yellow	͏͏
